epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,470.48,0.72636,2.70232,0.45838,0.79507,1.16644,0.93484,0.83139,0.94732,0.82183,0.70176,0.60579,0.54847,0.21033,0.54511,4.52164,0.21736,0.58603,1.02364,0.000922942,0.000922942,0.000922942
38,482.96,0.72482,2.61414,0.45493,0.78297,1.15956,0.92184,0.93447,0.97064,0.83067,0.70498,0.71474,0.64838,0.24011,0.56056,4.30127,0.21344,0.54019,1.03751,0.000918725,0.000918725,0.000918725
39,495.575,0.75283,2.661,0.45509,0.80466,1.18871,0.9084,0.95875,0.96311,0.85611,0.7698,0.73197,0.69446,0.25092,0.50361,4.27729,0.20052,0.54783,0.97876,0.000914405,0.000914405,0.000914405
40,508.201,0.69113,2.62756,0.44291,0.73671,1.12946,0.93651,0.89911,0.95402,0.82716,0.74478,0.65765,0.65042,0.25329,0.54451,4.24624,0.21177,0.55706,1.04155,0.000909984,0.000909984,0.000909984
41,520.743,0.70336,2.56169,0.44457,0.73727,1.15771,0.91566,0.93311,0.9585,0.85476,0.78099,0.79254,0.76304,0.29434,0.51933,3.89302,0.20625,0.52284,1.02113,0.000905463,0.000905463,0.000905463
42,532.967,0.72223,2.59342,0.44395,0.7799,1.15074,0.9023,0.86686,0.94164,0.84368,0.79804,0.69841,0.74197,0.28368,0.54572,4.04784,0.21547,0.54973,1.03596,0.000900844,0.000900844,0.000900844
43,545.451,0.6846,2.52812,0.43748,0.73356,1.13795,0.93439,0.87482,0.95502,0.84402,0.7363,0.64654,0.58919,0.24627,0.51118,4.16443,0.2027,0.51277,0.99681,0.000896127,0.000896127,0.000896127
44,557.995,0.68845,2.56897,0.44721,0.72355,1.1436,0.9262,0.94482,0.96282,0.85522,0.74707,0.72454,0.679,0.26719,0.50557,4.10929,0.22359,0.5343,0.98718,0.000891313,0.000891313,0.000891313
45,570.427,0.67946,2.6066,0.4339,0.72792,1.13459,0.92235,0.93714,0.9591,0.85733,0.77326,0.70145,0.6735,0.28152,0.49706,3.92859,0.21799,0.50097,0.98996,0.000886404,0.000886404,0.000886404
46,582.896,0.68031,2.46368,0.43325,0.72346,1.1413,0.93264,0.9445,0.95942,0.85784,0.717,0.72835,0.675,0.25677,0.49252,4.26154,0.22324,0.50535,0.98557,0.000881401,0.000881401,0.000881401
47,596.301,0.66072,2.52835,0.43482,0.70208,1.12522,0.92903,0.95331,0.97444,0.88709,0.79594,0.80328,0.75259,0.30051,0.46289,3.92979,0.22445,0.47311,0.98061,0.000876305,0.000876305,0.000876305
48,608.852,0.66652,2.5312,0.4405,0.69885,1.11469,0.92073,0.92853,0.95734,0.86484,0.80192,0.747,0.71665,0.2985,0.54699,3.92331,0.19295,0.50177,1.06776,0.000871117,0.000871117,0.000871117
49,621.332,0.67202,2.52766,0.42999,0.68945,1.1174,0.88258,0.90434,0.95033,0.83484,0.78902,0.70604,0.711,0.29703,0.54419,4.01975,0.20785,0.52911,1.04245,0.000865839,0.000865839,0.000865839
50,633.636,0.68543,2.44269,0.42973,0.71181,1.13639,0.97244,0.91872,0.97009,0.86567,0.77416,0.72913,0.70148,0.28227,0.5221,4.15247,0.22121,0.49805,1.02146,0.000860473,0.000860473,0.000860473
51,646.095,0.65874,2.3448,0.4277,0.70364,1.11404,0.87007,0.88745,0.9146,0.81668,0.71631,0.71822,0.65175,0.26259,0.54151,4.213,0.22011,0.53192,1.06345,0.000855018,0.000855018,0.000855018
52,658.581,0.64768,2.4503,0.43188,0.68023,1.10754,0.94028,0.88757,0.94125,0.85816,0.78618,0.73545,0.72071,0.28515,0.49054,3.97456,0.21794,0.47871,0.99558,0.000849477,0.000849477,0.000849477
53,671.059,0.64661,2.39557,0.41969,0.66959,1.10608,0.92845,0.94955,0.96386,0.89617,0.78723,0.77293,0.7252,0.28451,0.43525,3.99431,0.20058,0.42729,0.95265,0.000843851,0.000843851,0.000843851
54,683.363,0.65503,2.36257,0.40884,0.69354,1.11764,0.94134,0.93714,0.96629,0.88478,0.85588,0.76312,0.75933,0.31884,0.44272,3.80538,0.20864,0.47143,0.95157,0.000838141,0.000838141,0.000838141
55,695.682,0.64354,2.27615,0.42417,0.66976,1.10695,0.94013,0.96803,0.97978,0.89192,0.78657,0.70517,0.66789,0.26779,0.44827,4.02479,0.19373,0.42381,0.94836,0.000832349,0.000832349,0.000832349
56,708.011,0.62136,2.39456,0.41687,0.66376,1.095,0.95074,0.94417,0.97897,0.90743,0.74179,0.73261,0.67985,0.29723,0.40998,3.9633,0.17992,0.42065,0.92322,0.000826477,0.000826477,0.000826477
57,720.263,0.6316,2.3324,0.41284,0.65567,1.0979,0.92257,0.9677,0.96772,0.88098,0.7933,0.72913,0.76585,0.30551,0.4512,3.92683,0.21625,0.44709,0.94892,0.000820525,0.000820525,0.000820525
58,732.552,0.63478,2.32252,0.4137,0.65048,1.09367,0.94947,0.95071,0.97305,0.87371,0.81529,0.8167,0.78266,0.33615,0.48782,3.68808,0.17538,0.41301,1.01174,0.000814495,0.000814495,0.000814495
59,744.779,0.63169,2.3895,0.41309,0.66428,1.09351,0.97351,0.94218,0.97588,0.90079,0.77167,0.74526,0.68187,0.30476,0.45042,3.91824,0.18234,0.43184,0.95588,0.000808389,0.000808389,0.000808389
