epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,350.733,0.73516,2.79227,0.47251,0.78352,1.1717,0.89888,0.95625,0.9707,0.85144,0.75078,0.65348,0.61292,0.21405,0.5718,4.59983,0.22656,0.50313,1.04774,0.000843851,0.000843851,0.000843851
41,359.142,0.70443,2.81312,0.47023,0.75017,1.15472,0.92379,0.94813,0.96274,0.83776,0.77024,0.70036,0.64548,0.24473,0.54162,4.35172,0.2285,0.52652,1.00697,0.00083622,0.00083622,0.00083622
42,367.595,0.72136,2.82054,0.46875,0.76881,1.15388,0.93761,0.92853,0.97186,0.86108,0.75182,0.73608,0.68172,0.25927,0.51299,4.18371,0.22894,0.48133,1.02547,0.000828443,0.000828443,0.000828443
43,376.21,0.7049,2.78168,0.45818,0.73395,1.13653,0.92903,0.95814,0.97488,0.86506,0.70226,0.6923,0.65325,0.25991,0.50691,4.21658,0.24365,0.47267,0.99803,0.000820525,0.000820525,0.000820525
44,384.697,0.70275,2.62658,0.45749,0.74691,1.16019,0.95369,0.95708,0.96911,0.82838,0.69803,0.68608,0.63163,0.23273,0.5537,4.31578,0.19843,0.49408,1.01479,0.000812468,0.000812468,0.000812468
45,393.149,0.70538,2.65022,0.4596,0.74108,1.14241,0.92286,0.88537,0.95952,0.86528,0.73271,0.70383,0.67637,0.25302,0.47603,4.08412,0.21052,0.59443,0.95605,0.000804277,0.000804277,0.000804277
46,401.636,0.66977,2.62987,0.4522,0.70171,1.12109,0.94342,0.94629,0.97397,0.88035,0.75673,0.74241,0.69712,0.27869,0.48484,4.09245,0.20636,0.46044,0.9843,0.000795954,0.000795954,0.000795954
47,410.198,0.69503,2.68382,0.4532,0.72618,1.13822,0.97727,0.95459,0.97927,0.87377,0.70941,0.68615,0.6302,0.23182,0.49799,4.43141,0.22395,0.43971,0.97662,0.000787503,0.000787503,0.000787503
48,418.639,0.67778,2.64853,0.46131,0.70292,1.12025,0.94398,0.96426,0.9758,0.86587,0.772,0.73261,0.71557,0.28705,0.51868,4.07572,0.23354,0.43838,0.99667,0.000778929,0.000778929,0.000778929
49,427.091,0.69357,2.57418,0.45978,0.69222,1.13458,0.93214,0.91025,0.94338,0.8512,0.75365,0.73435,0.66688,0.27277,0.45937,3.98047,0.20907,0.50168,0.95114,0.000770234,0.000770234,0.000770234
50,435.499,0.68306,2.54673,0.45339,0.71763,1.13781,0.92152,0.94557,0.97754,0.85824,0.79091,0.75167,0.74788,0.29667,0.51943,3.93645,0.20076,0.45001,0.99762,0.000761423,0.000761423,0.000761423
51,444.102,0.66885,2.52792,0.44742,0.69285,1.11538,0.96598,0.95809,0.98209,0.88806,0.78646,0.79588,0.75699,0.29463,0.46526,3.8819,0.19254,0.4235,0.95263,0.0007525,0.0007525,0.0007525
52,452.698,0.65654,2.50257,0.45429,0.689,1.11743,0.90489,0.95037,0.96255,0.8667,0.80525,0.68877,0.72925,0.27017,0.50924,4.108,0.24883,0.4966,0.98569,0.000743468,0.000743468,0.000743468
53,461.229,0.66276,2.45949,0.45836,0.67631,1.12674,0.91672,0.97111,0.97115,0.87419,0.76227,0.78634,0.71113,0.29619,0.47587,3.88441,0.19359,0.44366,0.97855,0.000734332,0.000734332,0.000734332
54,469.721,0.6494,2.55228,0.431,0.66784,1.09966,0.9343,0.95654,0.98007,0.88648,0.77703,0.76175,0.68925,0.25495,0.47952,4.0577,0.20768,0.43095,0.96252,0.000725094,0.000725094,0.000725094
55,478.21,0.65002,2.46199,0.43995,0.67145,1.10743,0.9596,0.90471,0.98028,0.90058,0.84186,0.7935,0.80389,0.31922,0.43297,3.74318,0.22519,0.41337,0.92811,0.000715761,0.000715761,0.000715761
56,486.76,0.64112,2.3465,0.43882,0.65734,1.1079,0.94128,0.94292,0.98097,0.87901,0.80213,0.7568,0.73796,0.2998,0.49257,3.99422,0.19532,0.45232,0.9797,0.000706335,0.000706335,0.000706335
57,495.122,0.64508,2.44762,0.43924,0.65763,1.11313,0.96538,0.98073,0.98808,0.90063,0.86866,0.8419,0.82288,0.34545,0.4351,3.59406,0.20917,0.36972,0.95592,0.00069682,0.00069682,0.00069682
58,503.626,0.6362,2.45959,0.44544,0.65456,1.10823,0.97306,0.97322,0.98634,0.89471,0.83821,0.83789,0.81441,0.32846,0.44231,3.63984,0.19344,0.38996,0.9606,0.000687222,0.000687222,0.000687222
59,512.092,0.63129,2.36911,0.41941,0.66283,1.0934,0.92419,0.95692,0.97786,0.88809,0.79374,0.74241,0.6923,0.29729,0.4853,3.83562,0.20581,0.42178,0.98587,0.000677543,0.000677543,0.000677543
60,520.557,0.61814,2.36973,0.43215,0.6442,1.09098,0.91504,0.96925,0.97789,0.88146,0.79148,0.7666,0.74057,0.30329,0.47927,3.87604,0.21891,0.42919,0.97192,0.000667789,0.000667789,0.000667789
61,529.118,0.6366,2.28886,0.43445,0.63871,1.10459,0.94885,0.94916,0.97531,0.85989,0.82701,0.78002,0.78714,0.31341,0.51158,3.75947,0.22447,0.41174,1.0115,0.000657963,0.000657963,0.000657963
62,537.492,0.63296,2.31583,0.4399,0.64564,1.10619,0.9328,0.96426,0.97907,0.88064,0.78537,0.80767,0.78945,0.31711,0.48501,3.82916,0.20471,0.42264,1.00043,0.000648071,0.000648071,0.000648071
63,545.889,0.6141,2.27662,0.43844,0.63477,1.08776,0.94743,0.93337,0.96403,0.8658,0.77049,0.77057,0.7307,0.31782,0.4482,3.70805,0.22379,0.44069,0.96028,0.000638115,0.000638115,0.000638115
64,558.363,0.59591,2.26607,0.4328,0.61669,1.07242,0.96099,0.95517,0.9741,0.89811,0.79468,0.76824,0.72151,0.32069,0.43595,3.78326,0.19919,0.38913,0.9368,0.000628101,0.000628101,0.000628101
65,566.686,0.59141,2.2138,0.42237,0.60205,1.082,0.96487,0.96426,0.98494,0.90541,0.77398,0.77306,0.70391,0.28097,0.42693,3.88674,0.20801,0.38832,0.93613,0.000618034,0.000618034,0.000618034
66,575.173,0.62223,2.29678,0.42211,0.61762,1.09644,0.96903,0.97167,0.98663,0.90966,0.80688,0.78732,0.74113,0.31849,0.40607,3.738,0.1847,0.38844,0.92216,0.000607916,0.000607916,0.000607916
67,583.568,0.57745,2.27416,0.41882,0.58574,1.07109,0.97352,0.96021,0.98868,0.90418,0.85935,0.84432,0.80679,0.34425,0.42193,3.50845,0.20069,0.3671,0.91914,0.000597754,0.000597754,0.000597754
68,592.288,0.60266,2.22912,0.42599,0.62497,1.09522,0.97511,0.94639,0.9772,0.89955,0.86525,0.82195,0.79668,0.35581,0.43138,3.50347,0.2034,0.37953,0.93217,0.000587551,0.000587551,0.000587551
69,600.795,0.59152,2.19914,0.42697,0.60114,1.07821,0.9517,0.95765,0.98169,0.91377,0.78911,0.80035,0.74458,0.31915,0.38663,3.66341,0.20086,0.38256,0.91221,0.000577311,0.000577311,0.000577311
70,609.256,0.58661,2.23374,0.42887,0.59651,1.07437,0.96548,0.96013,0.9858,0.89944,0.77996,0.76368,0.7355,0.33685,0.44865,3.59012,0.20477,0.38041,0.95943,0.00056704,0.00056704,0.00056704
71,617.739,0.58103,2.23845,0.4191,0.59701,1.06522,0.95762,0.97407,0.98491,0.90382,0.78302,0.79191,0.73341,0.31227,0.39921,3.72884,0.20499,0.37862,0.91499,0.000556742,0.000556742,0.000556742
72,626.174,0.58214,2.24164,0.414,0.61641,1.07903,0.96117,0.97082,0.98173,0.91135,0.80457,0.77764,0.737,0.3397,0.39873,3.82719,0.21314,0.37765,0.91263,0.000546421,0.000546421,0.000546421
